0,1
雅岛英皇茶,雅岛英皇茶
甜品1号店,甜品1号
李先生酱骨菜馆,"李先生, Mrlee"
星巴克,"星巴克, Starbucks"
老磨坊七佰岁羊汤馆,老磨坊
淳百味,淳百味
MANGO SIX韩流咖啡,"MANGO SIX, MANGOSIX"
屿蓝湾鲜果茶,屿蓝湾鲜果茶
COMEBUY甘杯,"甘杯, COMEBUY"
vq鲜榨果汁,VQ鲜榨果汁
蓝湾咖啡,蓝湾咖啡
朝茶TSAOCAA,朝茶
重庆顺水鱼馆火锅,顺水鱼馆
唯客西餐吧,唯客
周麻婆,周麻婆
蒸美味早餐,蒸美味
王子拉茶,王子拉茶
蛙来哒炭烧牛蛙,蛙来哒
塞纳左岸咖啡,"塞纳左岸, SanaZoan"
朝茶,朝茶
吉野家,吉野家
欧米奇,"欧米奇, AMICI COFFEE, AMICICOFFEE"
川渝部落重庆老火锅,川渝部落
辛发亭,辛发亭
罗帝可可果汁吧,"罗帝可可, RODICOCO"
查朵J’ADORE,"查朵, J‘adore, jadore"
Tasty Road,"西堤牛排, Tasty"
COMEBUY甘杯,"甘杯, COMEBUY"
咖啡陪你,"咖啡陪你, Caffebene"
50岚鲜茶连锁,50岚鲜茶
小摘堂茶,小摘堂茶
雕刻时光茶社,雕刻时光
恩茶,"恩茶, ENCHA"
小鱼小牛,小鱼小牛
Mangostar,"星角, Mango star, Mangostar"
九份仙芋,九份仙芋
老爷锅,老爷锅
大渝火锅,大渝火锅
连咖啡,"连咖啡, Coffee Box, CoffeeBox"
恋暖初茶,恋暖初茶
吉野家,吉野家
熬八年台湾火锅,熬八年
1点点,"1点点, 1點點"
川国演义川味主题餐厅,"川国演义, 川锅演义"
塞纳左岸咖啡,"塞纳左岸, SsanaZoan"
华必和,华必和
lavazza拉瓦萨咖啡,"拉瓦萨, LAVAZZA"
茶玛TEAMACC,"茶玛, TEAMACC"
优多C,优多C
蒸浏记,蒸浏记
重庆巴将军火锅,巴将军火锅
鲜果时间,鲜果时间
外婆家乡味小厨,外婆家
年年大丰收鱼庄,年年大丰收鱼庄
StayReal Café,StayReal
重庆大队长主题火锅,大队长主题火锅
老乡鸡王府大街店,老乡鸡
illy咖啡,illy咖啡
西堤牛排,"西堤牛排, Tasty"
马兰拉面,"马兰拉面, Malan"
辣莊穿越文化老火锅,辣莊
新辣道火锅,新辣道
布维记,布维记
新川国演义火锅,"川国演义, 川锅演义"
缤果鲜茶,缤果鲜茶
酒窝甜品,酒窝甜品
珍奶工坊,珍奶工坊
麦当劳,"麦当劳, ""MCDONALDS"""
茶颜悦色,茶颜悦色
CITITEE-吸吉茶,"吸吉茶, CITITEA, CITITEE"
厚呷台式奶茶,"厚呷, HOUJIA"
茗记甜品,茗记甜品
老磨坊功夫菜馆,老磨坊
芝士时光·月影,芝士时光
屿蓝湾鲜果茶,屿蓝湾鲜果茶
CITITEE—吸吉茶,"吸吉茶, CITITEA, CITITEE"
吸吉茶饮,"吸吉茶, CITITEA, CITITEE"
室町品茶奶茶饮品,室町品茶
果麦的鲜饮创作,果麦
MANGOSIX咖啡厅,"MANGO SIX, MANGOSIX"
illy咖啡,illy咖啡
三只耳黄焖牛肉火锅店,三只耳
caffarel口福莱巧克力,"口福莱, Caffarel"
黑玉奶茶·甜品,黑玉奶茶
茶诱惑冰城,茶诱惑
赛巴奴毛肚小火锅,巴奴毛肚
珍奶工坊益民路122号,珍奶工坊
乐乐茶鲜饮,"乐乐茶, LELECHA, LE LE CHA"
知乎茶也,知乎茶也
虾吃虾涮火锅,虾吃虾涮
迪欧咖啡,迪欧咖啡
黑龙茶娄桥店,黑龙茶
COSTA COFFEE,"咖世家, costa"
玛格利塔现烤披萨,"玛格利塔, Magritta"
米集盒,米集盒
川江号子火锅,川江号子
磨咖小镇,磨咖小镇
金五门秘制时尚火锅,金五门
鱼豆吉·豆浆鱼火锅,鱼豆吉
MVUkeTokyo,"布歌东京, mvuke tokyo, mvuketokyo"
地下铁,地下铁
辣府重庆火锅,辣府
Seesaw Coffee,"西舍咖啡, Seesaw Coffee, SeesawCoffee"
彤德莱火锅,彤德莱
茶颜悦色店里,茶颜悦色
茶颜悦色,茶颜悦色
淳百味,淳百味
不二茶铺,不二茶铺
蜀大侠火锅,蜀大侠
TheOneCake,"炭茶, THEONE"
萃茶师,萃茶师
斗牛士牛排餐厅,斗牛士牛排
丹堤咖啡,丹堤咖啡
石二锅,石二锅
重庆刘一手火锅,"刘一手火锅, 重庆刘一手火锅"
大娘水饺,大娘水饺
遇见奶牛,遇见奶牛
黔乡牧人,黔乡牧人
答案茶,"答案, ANSWER TEA, ANSWERTEA"
阿旺茶,"阿旺茶, AWON"
漫咖啡,"漫咖啡, MAANCOFFEE"
汕头八合里海记牛肉店,八合里海记
安乃迪尔,"安乃迪尔, ONadore"
奶熊奶茶,奶熊奶茶
塞纳左岸中西餐厅,"塞纳左岸, SanaZoan"
小鱼小牛,小鱼小牛
COMEBUY甘杯,"甘杯, COMEBUY"
糖品屋,糖品
华必和大食堂,华必和
茶大爷,"茶大爷, teadaye"
Yummy鸡蛋仔,"雅蜜优格, yummy"
阿华大虾,阿华大虾
VOX.COFFEE,"唯咖啡, VOX"
BAKERS,"百特喜, BAKERS"
糖半甜,糖半甜
果麦,果麦
东来顺鲜羊肉炭火锅,东来顺
百味记小郡肝,百味记小郡肝
theone智能钢琴教室,"炭茶, THEONE"
小蒙牛,小蒙牛
暹香泰茶,暹香泰茶
满记甜品,满记甜品
鱼豆吉·豆浆鱼火锅,鱼豆吉
星角芒果冰,"星角, Mango star, Mangostar"
二人锅,二人锅
BBQ烧腊,"比比客, bbq"
缤果鲜茶,缤果鲜茶
喜虾客时尚火锅,喜虾客
淳百味,淳百味
热辣壹号,热辣壹号
妙茶记新中式茶饮,妙茶
珍奶工坊,珍奶工坊
蛙来哒炭烧牛蛙,蛙来哒
meltin,"慕婷, Meltin"
百年老妈火锅,百年老妈
奶熊果饮,奶熊果饮
避风港奶茶,避风港
萃茶师,萃茶师
雨花西餐厅,雨花西餐厅
itea找茶,"找茶, I tea, Itea"
王子拉茶,王子拉茶
二人锅,二人锅
庆丰包子铺,庆丰包子铺
傣妹火锅,傣妹火锅
芒不颠,"芒不颠, crazymango"
i转角,"i转角, ICORNER"
恋暖初茶,恋暖初茶
和茶仓,和茶仓
重庆巴将军火锅,巴将军火锅
蛋挞王子一号店,蛋挞王
维果部落,"维果部落, vingco"
舞茶道,舞茶道
唯咖啡vox,"唯咖啡, VOX"
豪尚豪牛排馆,豪尚豪
五条人糖水铺,五条人糖水铺
Port Tea葡茶,"葡茶, Port Tea, PortTea"
royaltea东御皇茶,"皇茶, royal tea, royaltea"
阿华大虾,阿华大虾
一夫茶,一夫茶
哈里欧咖啡厅,哈里欧咖啡
上岛咖啡,上岛咖啡
巴四老城区炭火蛙锅,巴四老城区炭火蛙锅
佳佳基,佳佳基
COLD STONE,"酷圣石, Cold Stone, ColdStone"
茶颜悦色,茶颜悦色
烹大师涮涮锅,烹大师
壹早壹碗豆腐脑,壹早壹碗
仙芋世家,仙芋世家
真功夫,真功夫
皇城老妈,皇城老妈
意大利咖啡体验馆,"意大利咖啡, Cafe Barbera, CafeBarbera"
茶屋此店,"茶屋, TRDLO"
如皋小尾羊欢乐牧场自助火锅,小尾羊
电台巷儿小月君肝串串香,电台巷
珍奶工坊,珍奶工坊
斯利美爆姐家,斯利美
85度Tea,85度tea
本位咖啡,"本位咖啡, BASIS COFFEE, BASISCOFFEE"
典记甜品,典记甜品
四季榴莲,四季榴莲
哈根达斯,哈根达斯
巴贝拉意式休闲餐厅,"巴贝拉, Babela"
7分甜,7分甜
重庆南山渔火鱼火锅原齐齐火锅,齐齐火锅
淘汰郎小火锅,淘汰郎
大龙燚火锅,大龙燚
迪欧咖啡,迪欧咖啡
三不牛腩,三不牛腩
巴贝拉意式休闲餐厅,"巴贝拉, Babela"
漫咖啡,"漫咖啡, MAANCOFFEE"
雅岛英皇茶,雅岛英皇茶
知乎茶也,知乎茶也
记忆年代老火锅,"记忆年代老火锅, 记忆.年代老火锅"
胡须张鲁肉饭,胡须张
台资味,台资味
东方既白,东方既白
街头茶客,街头茶客
我呀便当,我呀便当
蛋挞王子,蛋挞王
地下铁,地下铁
素食楼,鱼豆吉
江一湖火锅串串香,江一湖
西堤岛咖啡西餐厅,西堤岛咖啡
小蒙牛顶级麻辣养生锅,小蒙牛
HEY JUICE茶桔便,"茶桔便, Hey Juice, HeyJuice"
西堤牛排,"西堤牛排, Tasty"
良木缘咖啡西餐,良木缘
1點點,"1点点, 1點點"
咖啡之翼自动现磨咖啡机,咖啡之翼
周麻婆,周麻婆
西树泡芙,"Chez Choux, 西树泡芙"
磨咖小镇,磨咖小镇
漫猫咖啡,漫猫咖啡
蓝湾咖啡,蓝湾咖啡
弥茶,弥茶
茶颜悦色+好多鱼,茶颜悦色
斗牛士牛排餐厅,斗牛士牛排
半兽人中华火锅料理店,半兽人
西尾抹茶,西尾抹茶
阿香婆干锅厨房,阿香婆
刘一手火锅,"刘一手火锅, 重庆刘一手火锅"
必来客削面王,"必来客, BELIKE"
川成元,川成元
舌尖记忆,舌尖记忆
和合谷,和合谷
喜年贡茶,喜年贡茶
李先生,"李先生, Mrlee"
半兽人中华火锅料理,半兽人
萨莉亚意式餐厅,"萨莉亚, Saizeriya"
Sweet Corner,"甜蜜转身, Sweet Corner, SweetCorner"
小龙坎老火锅,小龙坎老火锅
漫咖啡,"漫咖啡, MAANCOFFEE"
汉堡王德胜西式快餐,"汉堡王, BurgerKing"
黄记煌三汁焖锅,黄记煌
二人锅,二人锅
口渴了饮品,口渴了
大头椰,大头椰
避风港,避风港
谷子帝五谷煎饼,谷子帝
辣莊穿越文化老火锅,辣莊
遇见奶牛,遇见奶牛
潘师傅湘菜馆,潘师傅
雪花姐姐,雪花姐姐
易思凯斯咖啡,"易思凯斯, Esquires"
啡域咖啡,啡域咖啡
华莱士,华莱士
泰芒了便利店,泰芒了
外婆烧私家菜,外婆烧
蒙自源小锅米线,蒙自源
訸記潮牛潮汕牛肉火锅,"訸記潮牛, 禾记潮牛"
乡水源火锅,乡水源
葡茶POCTEA,"葡茶, Port Tea, PortTea"
西堤岛咖啡厅,西堤岛咖啡
Honeycreme,"Honey Creme, HoneyCreme"
茶之道,茶之道
Port Tea葡茶,"葡茶, Port Tea, PortTea"
重庆乡水源火锅,乡水源
尚客优品中式快餐,尚客优品
1点点甜不甜,"1点点, 1點點"
爵士岛咖啡会所,爵士岛咖啡
掂档潮汕牛肉火锅,掂档潮汕牛肉
O2小氧纯鲜榨果汁,o2小氧
爱思米中式快餐,"爱思米, Kissme"
爷茶,"爷茶, GRANDPA"
王品台塑牛排,王品台塑牛排
滇草香云南原生态汤火锅,滇草香
东来顺超市,东来顺
麦咖啡,"麦咖啡, McCafe"
仙芋世家,仙芋世家
聪少甜品,聪少甜品
冰果彩虹,"冰果彩虹, ICEGOBOW"
问茶,问茶
乌煎道黑龙茶,乌煎道黑龙茶
72街,72街
谢谢茶xiexietea·谢谢包xiexiebao,"谢谢茶, XieXieTea"
荼啡茶,荼啡茶
本宫的茶,本宫的茶
甜猫甜品,甜猫甜品
佳佳基西式快餐,佳佳基
皇城老妈涮涮锅,皇城老妈
江一湖小郡肝串串香,江一湖
满哥甜品,满哥甜品
西树泡芙,"Chez Choux, 西树泡芙"
米多面多,"米多面多, MIDOU"
外婆家自助小火锅,外婆家
多喜爱冰激淋,多喜爱
彤德莱火锅,彤德莱
Teddy coffee,"泰迪咖啡, Teddy"
朝茶,朝茶
不二锅FUJIPOT小火锅,不二锅
觅糖记甜点,"觅糖记, MeetDessert"
上岛咖啡,上岛咖啡
狗不理包子店,狗不理
百味记小郡肝罐罐串串,百味记小郡肝
淘汰郎火锅,淘汰郎
粥鼎记,粥鼎记
和茶仓,和茶仓
阿华大虾,阿华大虾
汕头八合里海记牛肉,八合里海记
唯客利快餐店,唯客
1点点,"1点点, 1點點"
蒙自源小锅,蒙自源
唐恩都乐,"唐恩都乐, dunkin donuts, dunkindonuts"
奉茶,"奉茶, FANG CHA, FANGCHA"
永和大王,"永和大王, 台式风味的精致快餐"
榴莲一品,榴莲一品
粥鼎记早餐,粥鼎记
一芳水果茶,一芳水果茶
川国演义·酸菜鱼,"川国演义, 川锅演义"
王品台塑牛排馆,王品台塑牛排
Morozoff摩洛索夫,morozoff
百特喜鹅肝比萨意大利餐厅,"百特喜, BAKERS"
壹早壹碗豆腐脑,壹早壹碗
小龙坎老火锅,小龙坎老火锅
遇见奶牛,遇见奶牛
东池便当,东池便当
喜虾客·虾火锅,喜虾客
鹿谷製茶,鹿谷製茶
毋米粥顺德菜馆,毋米粥
蒂奥莎巧克力Diosa,"蒂奥莎, DIOSA"
茶物语,茶物语
欧索米萝咖啡,欧索米萝咖啡
三只耳鱼火锅,三只耳
"蛋挞王,鸡排先生",蛋挞王
Krispy Kreme Doughnuts,"卡卡圈坊, Krispy Kreme, KrispyKreme"
大娘水饺,大娘水饺
谷香果乐鲜饮吧,谷香果乐
icegobow冰果彩虹,"冰果彩虹, ICEGOBOW"
朝茶晚酒,朝茶
港芝悦,港芝悦
途尚咖啡,"途尚咖啡, Twosome"
豪尚豪牛排馆,豪尚豪
素匠泰茶,素匠泰茶
米集盒,米集盒
吸吉茶饮,"吸吉茶, CITITEA, CITITEE"
有家酸菜鱼,有家酸菜鱼
亚惠美食,亚惠美食
豪客来牛排,"豪客来, houcaller"
蜀大侠四川传统主义火锅,蜀大侠
地下铁奶茶小吃店,地下铁
海岸茶度,海岸茶度
柠檬王子,柠檬王子
theone,"炭茶, THEONE"
和合谷,和合谷
大渝火锅,大渝火锅
永和大王,"永和大王, 台式风味的精致快餐"
伊示雅咖啡简餐,"伊示雅, ISHIJAH"
西树泡芙,"Chez Choux, 西树泡芙"
毛家饭店,毛家饭店
张阿姨奶茶,张阿姨奶茶
仙芋世家,仙芋世家
川渝部落重庆老火锅,川渝部落
胡须张鲁肉饭,胡须张
真功夫,真功夫
Royaltea皇茶天下,"皇茶, royal tea, royaltea"
外婆家烤鱼餐厅,外婆家
唯客多西式快餐,唯客
都可,"都可, COCO, 都可茶饮"
宇治茶铺,宇治茶铺
味千拉面,"味千拉面, 较大的休闲餐厅连锁经营商"
大快活,大快活
比格汉堡西餐厅,"比格, Big Pizza, BigPizza"
口福居火锅,口福居火锅
茶色倾城奶茶店,茶色倾城
许府牛杂火锅,许府牛
丹堤咖啡,丹堤咖啡
萨莉亚,"萨莉亚, Saizeriya"
大娘水饺,大娘水饺
Fuel Espresso,"Fuel Espresso, FuelEspresso"
斯利美甜品店,斯利美
茶丸家,茶丸
陶然居精致淮扬菜,陶然居
VQ鲜榨果汁,VQ鲜榨果汁
唯客奶思,唯客
臻好时冻酸奶,臻好时冻酸奶
Lelecha乐乐茶,"乐乐茶, LELECHA, LE LE CHA"
漫雪的茶,漫雪的茶
二人锅,二人锅
过江龙火锅,过江龙火锅
秋叶塘甜品,秋叶塘
味千拉面,"味千拉面, 较大的休闲餐厅连锁经营商"
大龙燚火锅,大龙燚
吉祥馄饨,吉祥馄饨
四海游龙,四海游龙
王子拉茶,王子拉茶
索菲克牛排.欢享餐厅,"索菲克, Sofeco"
恩茶,"恩茶, ENCHA"
安乃迪尔咖啡·烘焙,"安乃迪尔, ONadore"
微咖啡,"微咖啡, MicroCoffee"
吴小姐炒酸奶,吴小姐炒酸奶
猫屎咖啡,猫屎咖啡
川江号子,川江号子
茶诱惑,茶诱惑
仁记甜品,仁记甜品
品尚豆捞,品尚豆捞
Movenpick café莫凡彼咖啡馆,"莫凡彼, Movenpick"
茶丸家·纯手工珍珠,茶丸
茶托邦,茶托邦
芒不颠港式甜品,"芒不颠, crazymango"
HERE THERE 这里那里咖啡书吧,"这里那里, HERE THERE, HERETHERE"
吸吉茶饮 奔牛店,"吸吉茶, CITITEA, CITITEE"
九龙巴士,九龙巴士
重庆大队长主题火锅,大队长主题火锅
青沫茶颜,青沫茶颜
维果部落天使之橙,"维果部落, vingco"
非茶不可,非茶不可
芝士客皇茶,芝士客皇茶
蓝湾咖啡,蓝湾咖啡
来必堡,来必堡
CITITEE一吸吉茶,"吸吉茶, CITITEA, CITITEE"
咖啡陪你,"咖啡陪你, Caffebene"
米莫的茶,米莫的茶
i转角icorner,"i转角, ICORNER"
芒不颠,"芒不颠, crazymango"
喜茶,"喜茶, HEEKCAA"
luckin coffee,"瑞幸咖啡, luckin"
骑士老虎茶·黑糖,骑士老虎茶
漾漾好贡茶,漾漾好贡茶
来必堡美食城,来必堡
西园宇治抹茶,西园宇治抹茶
哆可牛乳茶,哆可
地下铁,地下铁
吉祥馄饨,吉祥馄饨
阿香婆剁肉饺子,阿香婆
kika,kika
台资味,台资味
蒸功夫灌汤包,蒸功夫
鱼一哥,鱼一哥
茉沏,茉沏
巴贝拉意式休闲餐厅,"巴贝拉, Babela"
重庆小天鹅,重庆小天鹅
口渴了饮品,口渴了
麻里麻里香锅,麻里麻里香锅
爱思米中式时尚简餐,"爱思米, Kissme"
VQ鲜榨果汁,VQ鲜榨果汁
米集盒,米集盒
漫猫咖啡,漫猫咖啡
壹小馆.皇城老妈,壹小馆皇城老妈
百味记小郡肝砂罐串串,百味记小郡肝
COSTA COFFEE,"咖世家, costa"
辛发亭,辛发亭
无锡傣妹火锅,傣妹火锅
INCHA印茶,"印茶, INCHA"
米集盒,米集盒
傣妹火锅,傣妹火锅
行运打边炉,行运打边炉
小辉哥米线,小辉哥
聪少甜品,聪少甜品
李先生菌菇拉面,"李先生, Mrlee"
咖啡陪你caffebene,"咖啡陪你, Caffebene"
茶风暴,茶风暴
zoo coffee,"动物园咖啡, zoo coffee, zoocoffee"
老乡鸡,老乡鸡
锅小二,锅小二
大家乐家常菜,大家乐
哈根达斯,哈根达斯
快乐柠檬,"快乐柠檬, Happy lemon, Happylemon"
encha恩茶,"恩茶, ENCHA"
豪享来欧诺拉,豪享来
东方饺子王,东方饺子王
狗不理包子,狗不理
缤果鲜茶,缤果鲜茶
蛋仔小茶,蛋仔小茶
芝士时光,芝士时光
茶家 TEAKHA,茶家
水玉丸作,水玉丸作
辛发亭甜品,辛发亭
可可树,可可树
蛙来哒炭烧牛蛙,蛙来哒
和合谷,和合谷
滇草香云南原生态汤火锅,滇草香
百转千味涮涮吧,千味涮
左庭右院,左庭右院
青沫茶颜,青沫茶颜
四云奶盖贡茶,四云奶盖贡茶
ONADORE,"安乃迪尔, ONadore"
微咖啡,"微咖啡, MicroCoffee"
世界茶饮,世界茶饮
郑州市如一坊餐饮有限公司,如一坊
淳百味,淳百味
年年大丰收鱼庄,年年大丰收鱼庄
芒可,芒可
麦隆咖啡,"麦隆咖啡, MELLOWER"
麦当劳,"麦当劳, ""MCDONALDS"""
一夫茶,一夫茶
B.B.Q. HOUSE,"比比客, bbq"
luckin coffee瑞幸咖啡,"瑞幸咖啡, luckin"
大快活,大快活
蒙自源,蒙自源
重庆秦妈火锅,秦妈火锅
谷子帝五谷煎饼,谷子帝
popomilk,"婆婆鲜奶坊, popomilk"
o2小氧鲜榨果汁,o2小氧
蓝山咖啡馆,蓝山咖啡
Sofeco索菲克牛排馆,"索菲克, Sofeco"
口渴了饮品,口渴了
石二锅,石二锅
茶公子与茶女仕,茶公子与茶女仕
陈记顺和潮汕牛肉,陈记顺和潮汕牛肉
麻里麻里香锅,麻里麻里香锅
喜虾客,喜虾客
亚惠.美食市集,亚惠美食
问茶,问茶
过江龙火锅城,过江龙火锅
Qlao趣捞,趣捞
小摘堂茶,小摘堂茶
钱都日式涮涮锅,钱都日式涮涮锅
果麦奶茶,果麦
ZOO COFFEE,"动物园咖啡, zoo coffee, zoocoffee"
小南国餐厅,小南国
尚上捞旋转小火锅,尚上捞
蛙来哒咨询管理有限公司,蛙来哒
非茶不可,非茶不可
东方饺子王,东方饺子王
50岚鲜茶连锁,50岚鲜茶
恋暖初茶,恋暖初茶
骑士老虎茶·黑糖,骑士老虎茶
蒸美味营养餐厅,蒸美味
集渔·泰式海鲜火锅,集渔
Hollys Coffee,"豪丽斯, HOLLYS COFFEE, HOLLYSCOFFEE"
贵族世家牛排,贵族世家牛排
三元梅园,三元梅园
芝士时光,芝士时光
爱思米海鲜干锅,"爱思米, Kissme"
贡茶,贡茶
黑玉奶茶,黑玉奶茶
阿香婆饺子农家菜,阿香婆
腩潮鲜牛腩火锅,腩潮鲜
亚惠美食广场,亚惠美食
永和豆浆,永和豆浆
奶熊果饮,奶熊果饮
Eimio爱咪欧冻酸奶,"爱咪欧, Ei mio, Eimio"
妙茶坊,妙茶
小蒙牛顶级麻辣养生锅,小蒙牛
许留山,许留山
茶桔便,"茶桔便, Hey Juice, HeyJuice"
树心旁,树心旁
厚呷台式茶饮制造,"厚呷, HOUJIA"
海底捞火锅,海底捞
古茗奶茶,古茗
阿贝兹,"阿贝兹, MiaBellezza"
华莱士炸鸡汉堡,华莱士
TWOSOME途尚咖啡,"途尚咖啡, Twosome"
布维记,布维记
蓝山咖啡,蓝山咖啡
呷哺呷哺,呷哺呷哺
咔咔西茶饮,"咔咔西, kakaxi"
台资味美食外送,台资味
小蒙牛顶级麻辣养生馆,小蒙牛
鲜煮艺小火锅,鲜煮艺小火锅
汕头八合里海记牛肉店,八合里海记
西部爵世牛排河间店,西部爵世
甘杯,"甘杯, COMEBUY"
8botea8波茶,"8波茶, 8 bo tea, 8botea, 8bo tea"
水天堂西餐厅,水天堂
暹香泰茶,暹香泰茶
关茶奶缇音乐休闲茶吧,关茶
蒸浏记,蒸浏记
巴里岛咖啡,巴里岛咖啡
暹香泰茶,暹香泰茶
COMEBUY甘杯,"甘杯, COMEBUY"
海底捞串一起嗨,海底捞
靓茶,"靓茶, leeacca"
许府牛牛气冲天·老山东特色火锅,许府牛
NOBIBI,nobibi
黑泷太郎,黑泷太郎
豪丽斯咖啡,"豪丽斯, HOLLYS COFFEE, HOLLYSCOFFEE"
厚呷台式茶饮,"厚呷, HOUJIA"
永和豆浆旗舰店,永和豆浆
50岚鲜茶专卖连锁,50岚鲜茶
快乐柠檬,"快乐柠檬, Happy lemon, Happylemon"
重庆秦妈火锅,秦妈火锅
小南国酒家,小南国
贡茶,贡茶
茶屋居,"茶屋, TRDLO"
麻辣小屋,麻辣小屋
小南国家常菜,小南国
缤果鲜茶,缤果鲜茶
朝茶,朝茶
哆可饮品,哆可
蒙自源过桥米线,蒙自源
蒸浏记·浏阳蒸菜,蒸浏记
赛百味,"赛百味, SUBWAY"
烹然四季椰子鸡火锅,烹然四季
茶家,茶家
GELATODINATURA,"杰拉朵, Gelato"
青沫茶颜,青沫茶颜
BIGPIZZA,"比格, Big Pizza, BigPizza"
公主馋港式甜品小站,公主馋
江巴奴重庆市井火锅,巴奴
咖咖奥咖啡,"咖咖奥, THECAFEKACAO"
72街,72街
彤德莱火锅,彤德莱
茶丸家,茶丸
Honey Creme,"Honey Creme, HoneyCreme"
上岛咖啡,上岛咖啡
集集小镇,集集小镇
蛙来哒炭烧牛蛙,蛙来哒
薡茶,"薡茶, ding tea, dingtea"
永和大王,"永和大王, 台式风味的精致快餐"
九份仙芋,九份仙芋
豪客来牛排,"豪客来, houcaller"
大龙燚火锅,大龙燚
温州牛很鲜潮汕牛肉火锅店,牛很鲜
顺水鱼馆,顺水鱼馆
马迭尔,"马迭尔, MADIEER"
叶子与茶,叶子与茶
港饮之港,港饮之港
蓝樽咖啡,"蓝樽咖啡, Blue bottle, Bluebottle"
亲爱的郭私房秘制,亲爱的郭
星巴克臻选,"星巴克, Starbucks"
重庆德庄火锅,德庄火锅
坎爷秘制火锅,坎爷秘制
檬舒舒MonChouChou,"檬舒舒, MonChouChou"
麦地初茶,麦地初茶
四川新元素都江堰直营店,"新元素, Elementfresh"
柠檬王子,柠檬王子
重庆秦妈火锅,秦妈火锅
恩茶encha,"恩茶, ENCHA"
重庆秦妈火锅,秦妈火锅
MOINEAU,Moineau
50岚鲜茶连锁,50岚鲜茶
bluebottle咖啡,"蓝樽咖啡, Blue bottle, Bluebottle"
TEAMACC茶玛,"茶玛, TEAMACC"
仁记甜品,仁记甜品
布维记,布维记
X造杯,X造杯
肯德基,"肯德基, KFC"
江一湖小郡肝串串香,江一湖
塞纳左岸咖啡,"塞纳左岸, SsanaZoan"
东池便当,东池便当
九鼎轩中心厨房,九鼎轩
斗牛士牛排餐厅,斗牛士牛排
巴里岛咖啡,巴里岛咖啡
小南国早餐店,小南国
我呀便当,我呀便当
茶桔便,"茶桔便, Hey Juice, HeyJuice"
瑞幸咖啡,"瑞幸咖啡, luckin"
真功夫,真功夫
全城寻味,全城寻味
香天下川味居,香天下
VQ鲜榨果汁吧,VQ鲜榨果汁
甜猫甜品,甜猫甜品
芋观园,芋观园
稻香米中式快餐,稻香
鱼尚鲜,鱼尚鲜
华必和,华必和
Port Tea葡茶,"葡茶, Port Tea, PortTea"
辣莊重庆老火锅,辣莊
ESQUIRES COFFEE,"易思凯斯, Esquires"
满哥甜品,满哥甜品
蒸膳美,蒸膳美
华莱士炸鸡汉堡,华莱士
青沫茶颜,青沫茶颜
茶之道,茶之道
半兽人火锅料理,半兽人
台资味台式便当,台资味
慕丝精致蛋糕,"慕丝, MOUSSE"
